arquivo,categoria,fonte,url,url_imagem,autor,licenca,data_coleta
met_christiano_vendedor.jpg,carte de visite,The Met,https://www.metmuseum.org/art/collection/search/764807,https://images.metmuseum.org/CRDImages/ph/original/DP-15801-115.jpg,Christiano Junior,CC0,2026-06-26
met_tintype_cinco_homens.jpg,tintype,The Met,https://www.metmuseum.org/art/collection/search/899141,https://images.metmuseum.org/CRDImages/ph/original/DP-39905-037.jpg,Autor desconhecido,CC0,2026-06-26
met_tintype_canteiro_crianca.jpg,tintype,The Met,https://www.metmuseum.org/art/collection/search/291932,https://images.metmuseum.org/CRDImages/ph/original/DP700474.jpg,Autor desconhecido,CC0,2026-06-26
met_tintype_funileiros.jpg,tintype,The Met,https://www.metmuseum.org/art/collection/search/291868,https://images.metmuseum.org/CRDImages/ph/original/DP700348.jpg,Autor desconhecido,CC0,2026-06-26
met_ambrotipo_tipografo_odell.jpg,ambrótipo,The Met,https://www.metmuseum.org/art/collection/search/930352,https://images.metmuseum.org/CRDImages/ph/original/DP-45863-001.jpg,Autor desconhecido,CC0,2026-06-26
met_ambrotipo_tanoeiro.jpg,ambrótipo,The Met,https://www.metmuseum.org/art/collection/search/291942,https://images.metmuseum.org/CRDImages/ph/original/DP700277.jpg,Autor desconhecido,CC0,2026-06-26
met_ambrotipo_gueixa.jpg,ambrótipo,The Met,https://www.metmuseum.org/art/collection/search/285443,https://images.metmuseum.org/CRDImages/ph/original/DP369542.jpg,Yokoyama Matsusaburo,CC0,2026-06-26
flickr_tintype_crianca.jpg,tintype,Flickr,https://www.flickr.com/photos/107480180@N03/51409790285,https://live.staticflickr.com/65535/51409790285_43877b922d_b.jpg,smallcurio,Public Domain Mark 1.0,2026-06-26
flickr_ambrotipo_irmas.jpg,ambrótipo,Flickr,https://www.flickr.com/photos/107480180@N03/51409588544,https://live.staticflickr.com/65535/51409588544_548f5ca588_b.jpg,smallcurio,Public Domain Mark 1.0,2026-06-26
flickr_cdv_louis_riel.jpg,carte de visite,Flickr,https://www.flickr.com/photos/28853433@N02/6461178381,https://live.staticflickr.com/7162/6461178381_3c5840ceed_b.jpg,Library and Archives Canada,CC BY 2.0,2026-06-26
flickr_soldado_jovem_1900.jpg,retrato de estúdio,Flickr,https://www.flickr.com/photos/24469639@N00/7160794283,https://live.staticflickr.com/8166/7160794283_23240265b9_b.jpg,whatsthatpicture,Public Domain Mark 1.0,2026-06-26
tintype_grupo_mulheres_toucas.jpg,tintype,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Groepsportret_van_vier_vrouwen_met_mutsen_en_drie_mannen,_RP-F-F14612.jpg",https://upload.wikimedia.org/wikipedia/commons/b/ba/Groepsportret_van_vier_vrouwen_met_mutsen_en_drie_mannen%2C_RP-F-F14612.jpg,Rijksmuseum,CC0,2026-07-04
tintype_grupo_quatorze_mulheres.jpg,tintype,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Groepsportret_van_veertien_vrouwen_rondom_een_tafel_tijdens_een_picknick_in_de_open_lucht,_RP-F-2007-414.jpg",https://upload.wikimedia.org/wikipedia/commons/1/15/Groepsportret_van_veertien_vrouwen_rondom_een_tafel_tijdens_een_picknick_in_de_open_lucht%2C_RP-F-2007-414.jpg,Rijksmuseum,CC0,2026-07-04
tintype_grupo_mulheres_bicicletas.jpg,tintype,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Groepsportret_van_vijf_vrouwen,_met_fietsen_aan_de_hand_staand_voor_een_geschilderd_achtergronddoek_met_boslandschap_waarboven_een_deel_van_het_doek_van_de_tent_van_de_fotograaf,_RP-F-2007-400.jpg",https://upload.wikimedia.org/wikipedia/commons/8/8c/Groepsportret_van_vijf_vrouwen%2C_met_fietsen_aan_de_hand_staand_voor_een_geschilderd_achtergronddoek_met_boslandschap_waarboven_een_deel_van_het_doek_van_de_tent_van_de_fotograaf%2C_RP-F-2007-400.jpg,Rijksmuseum,CC0,2026-07-04
tintype_mulher_sec19.jpg,tintype,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:19th_century_Photograph_-_woman.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f3/19th_century_Photograph_-_woman.jpg,Unknown author Unknown author,Public domain,2026-07-04
